idd;nombremat;cantidadutilizada;costoadicional;características
1;Arcilla refractaria;10000;5000;Alta resistencia al calor
2;Arena sílica;5000;2500;Granulometría uniforme
3;Cemento refractario;3000;1500;Secado rápido
4;Ladrillo refractario;20000;12000;Alta durabilidad
5;Fibra cerámica;5000;8000;Excelente aislante térmico
6;Perlita expandida;7000;3000;Ligero y aislante
7;Vermiculita expandida;8000;4000;Resistente a altas temperaturas
8;Cal hidratada;4000;2000;Propiedades refractarias
9;Ceniza volante;6000;3500;Aumenta resistencia y durabilidad
10;Polvo de ladrillo;3000;1800;Mejora características del mortero
