nombremat;cantidadutilizada;costoadicional;características
Arcilla refractaria;10000;5000;Alta resistencia al calor
Arena sílica;5000;2500;Granulometría uniforme
Cemento refractario;3000;1500;Secado rápido
Ladrillo refractario;20000;12000;Alta durabilidad
Fibra cerámica;5000;8000;Excelente aislante térmico
Perlita expandida;7000;3000;Ligero y aislante
Vermiculita expandida;8000;4000;Resistente a altas temperaturas
Cal hidratada;4000;2000;Propiedades refractarias
Ceniza volante;6000;3500;Aumenta resistencia y durabilidad
Polvo de ladrillo;3000;1800;Mejora características del mortero
